DATE,TIME,AG-PV P3/Irr (W/m2),AG-PV P3/T (oC),AO-TI P1/RH (%),AO-TI P1/T (oC),AO-TI P2/RH (%),AO-TI P2/T (oC),AO-SS P1/RH (%),AO-SS P1/T (oC),AO-SS P2/RH (%),AO-SS P2/T (oC),AG-PV P1/Irr (W/m2),AG-PV P1/T (oC),AG-PV P2/Irr (W/m2),AG-PV P2/T (oC),AG-TI P1/RH (%),AG-TI P1/T (oC),AG-TI P2/RH (%),AG-TI P2/T (oC),AG-SS P1/RH (%),AG-SS P1/T (oC),AG-SS P2/RH (%),AG-SS P2/T (oC),PO-PV/Irr (W/m2),PO-PV/T (oC),AG-TI P3/RH (%),AG-TI P3/T (oC),AO-TI P3/RH (%),AO-TI P3/T (oC),AG-SS P3/RH (%),AG-SS P3/T (oC),AO-SS P3/RH (%),AO-SS P3/T (oC),WS/RH (%),WS/T (oC),WS/P (mm)
6/1/2024,12:00:00 AM,0,,,,86.9,26.8,13.05,27.37,11.54,27.52,0,,0,,95.7,24.7,,,0,27.18,1.71,27.33,0,,,,97.2,24.7,0,27.4,0,26.66,83.4,28,
6/1/2024,12:05:00 AM,0,,,,86.9,26.8,13.05,27.37,11.54,27.5,0,,0,,95.7,24.7,,,0,27.18,1.71,27.33,0,,,,97.2,24.7,0,27.55,0,26.73,83.2,28,
6/1/2024,12:10:00 AM,0,,,,86.9,26.9,13.05,27.33,11.54,27.47,0,,0,,95.7,24.7,,,0,27.15,1.71,27.37,0,,,,97.2,24.7,0,27.52,0,26.66,83,28.1,
6/1/2024,12:15:00 AM,0,,,,86.8,26.9,13.05,27.3,11.54,27.42,0,,0,,95.7,24.7,,,0,27.23,1.71,27.3,0,,,,97.2,24.7,0,27.45,0,26.78,83.3,28,
6/1/2024,12:20:00 AM,0,,,,86.7,27,13.05,27.3,11.54,27.45,0,,0,,95.7,24.7,,,0,27.1,1.71,27.25,0,,,,97.2,24.7,0,27.35,0,26.76,83.5,28,
6/1/2024,12:25:00 AM,0,,,,86.7,27,13.05,27.3,11.54,27.4,0,,0,,95.7,24.7,,,0,27.18,1.71,27.2,0,,,,97.2,24.7,0,27.33,0,26.69,83.8,28,
6/1/2024,12:30:00 AM,0,,,,86.5,27,13.05,27.3,11.54,27.37,0,,0,,95.7,24.7,,,0,27.08,1.71,27.18,0,,,,97.2,24.7,0,27.35,0,26.66,83.9,27.9,
6/1/2024,12:35:00 AM,0,,,,86.6,27,13.05,27.28,11.54,27.37,0,,0,,95.7,24.7,,,0,27.05,1.71,27.23,0,,,,97.2,24.7,0,27.37,0,26.76,84.2,27.9,
6/1/2024,12:40:00 AM,0,,,,86.6,26.9,13.05,27.25,11.54,27.37,0,,0,,95.7,24.7,,,0,27.1,1.71,27.18,0,,,,97.2,24.7,0,27.35,0,26.78,84.2,27.8,
6/1/2024,12:45:00 AM,0,,,,86.8,26.8,13.05,27.25,11.54,27.37,0,,0,,95.7,24.7,,,0,27.18,1.71,27.15,0,,,,97.2,24.7,0,27.2,0,26.88,84.4,27.8,
6/1/2024,12:50:00 AM,0,,,,86.9,26.8,13.05,27.23,11.54,27.35,0,,0,,95.7,24.7,,,0,27.03,1.71,27.13,0,,,,97.2,24.7,0,27.25,0,26.76,84.8,27.7,
6/1/2024,12:55:00 AM,0,,,,87,26.8,13.05,27.2,11.54,27.33,0,,0,,95.7,24.7,,,0,26.96,1.71,27.13,0,,,,97.2,24.7,0,27.28,0,26.61,84.8,27.7,
6/1/2024,1:00:00 AM,0,,,,87.1,26.9,13.05,27.18,11.54,27.33,0,,0,,95.7,24.7,,,0,26.93,1.71,27.08,0,,,,97.2,24.7,0,27.23,0,26.69,85,27.7,
6/1/2024,1:05:00 AM,0,,,,87.1,26.9,13.05,27.18,11.54,27.28,0,,0,,95.7,24.7,,,0,26.96,1.71,27.08,0,,,,97.2,24.7,0,27.18,0,26.51,85.2,27.7,
6/1/2024,1:10:00 AM,0,,,,87.1,26.8,13.05,27.15,11.54,27.28,0,,0,,95.7,24.7,,,0,26.93,1.71,27.05,0,,,,97.2,24.7,0,27.18,0,26.64,85.6,27.6,
6/1/2024,1:15:00 AM,0,,,,87.3,26.9,13.05,27.13,11.54,27.23,0,,0,,95.7,24.7,,,0,26.96,1.71,26.98,0,,,,97.2,24.7,0,27.1,0,26.54,86.1,27.6,
6/1/2024,1:20:00 AM,0,,,,87.4,26.9,13.05,27.1,11.54,27.2,0,,0,,95.7,24.7,,,0,26.88,1.71,26.98,0,,,,97.2,24.7,0,27.1,0,26.54,86.4,27.5,
6/1/2024,1:25:00 AM,0,,,,87.6,26.9,13.05,27.08,11.54,27.13,0,,0,,95.7,24.7,,,0,26.93,1.82,26.98,0,,,,97.2,24.7,0,27.1,0,26.49,86.6,27.5,
6/1/2024,1:30:00 AM,0,,,,87.8,26.9,13.05,27.08,11.54,27.1,0,,0,,95.7,24.7,,,0,26.86,1.82,26.96,0,,,,97.2,24.7,0,27.1,0,26.44,86.5,27.5,
6/1/2024,1:35:00 AM,0,,,,87.5,26.9,13.05,27.03,11.54,27.08,0,,0,,95.7,24.7,,,0,26.81,1.82,26.93,0,,,,97.2,24.7,0,27.05,0,26.49,86.7,27.5,
6/1/2024,1:40:00 AM,0,,,,87.7,26.9,13.05,27.01,11.54,27.03,0,,0,,95.7,24.7,,,0,26.78,1.82,26.91,0,,,,97.2,24.7,0,27.01,0,26.49,86.8,27.4,
6/1/2024,1:45:00 AM,0,,,,87.5,26.9,13.05,26.98,11.54,27.01,0,,0,,95.7,24.7,,,0,26.78,1.82,26.86,0,,,,97.2,24.7,0,26.96,0,26.31,86.9,27.4,
6/1/2024,1:50:00 AM,0,,,,87.4,26.8,13.05,26.98,11.49,26.98,0,,0,,95.7,24.7,,,0,26.73,1.82,26.81,0,,,,97.2,24.7,0,26.93,0,26.39,87.1,27.4,
6/1/2024,1:55:00 AM,0,,,,87.4,26.8,13.05,26.93,11.54,27.01,0,,0,,95.7,24.7,,,0,26.76,1.82,26.73,0,,,,97.2,24.7,0,26.81,0,26.41,86.9,27.4,
