DATE,TIME,AG-PV P3/Irr (W/m2),AG-PV P3/T (oC),AO-TI P1/RH (%),AO-TI P1/T (oC),AO-TI P2/RH (%),AO-TI P2/T (oC),AO-SS P1/RH (%),AO-SS P1/T (oC),AO-SS P2/RH (%),AO-SS P2/T (oC),AG-PV P1/Irr (W/m2),AG-PV P1/T (oC),AG-PV P2/Irr (W/m2),AG-PV P2/T (oC),AG-TI P1/RH (%),AG-TI P1/T (oC),AG-TI P2/RH (%),AG-TI P2/T (oC),AG-SS P1/RH (%),AG-SS P1/T (oC),AG-SS P2/RH (%),AG-SS P2/T (oC),PO-PV/Irr (W/m2),PO-PV/T (oC),AG-TI P3/RH (%),AG-TI P3/T (oC),AO-TI P3/RH (%),AO-TI P3/T (oC),AG-SS P3/RH (%),AG-SS P3/T (oC),AO-SS P3/RH (%),AO-SS P3/T (oC),WS/RH (%),WS/T (oC),WS/P (mm)
1/5/2024,12:00:00 AM,0,,,,68.2,30.4,3.36,32.13,3.39,32.35,0,,0,,,,,,3.75,32.97,9.93,32.18,0,,65.2,31.5,67,30.9,4.77,32.35,4.29,30.76,64.8,31.4,
1/5/2024,12:05:00 AM,0,,,,68.5,30.4,3.36,32.08,3.39,32.27,0,,0,,,,,,3.75,32.95,9.93,32.13,0,,65.7,31.4,67.2,30.9,4.74,32.32,4.29,30.71,65.3,31.3,
1/5/2024,12:10:00 AM,0,,,,68.7,30.3,3.36,32.03,3.39,32.25,0,,0,,,,,,3.75,32.9,9.93,32.13,0,,65.7,31.3,67.6,30.8,4.74,32.25,4.29,30.68,65.6,31.2,
1/5/2024,12:15:00 AM,0,,,,69.1,30.3,3.36,31.96,3.39,32.18,0,,0,,,,,,3.75,32.87,9.93,32.08,0,,66.4,31.3,68.1,30.7,4.74,32.23,4.29,30.64,66.2,31.1,
1/5/2024,12:20:00 AM,0,,,,69.4,30.3,3.36,31.94,3.39,32.13,0,,0,,,,,,3.75,32.83,9.93,32.03,0,,66.7,31.2,68.5,30.7,4.74,32.18,4.29,30.59,66.8,31,
1/5/2024,12:25:00 AM,0,,,,69.9,30.1,3.36,31.89,3.39,32.06,0,,0,,,,,,3.75,32.78,9.93,32.01,0,,67.3,31.1,68.9,30.6,4.74,32.13,4.29,30.59,67.3,31,
1/5/2024,12:30:00 AM,0,,,,70.9,30,3.36,31.84,3.39,32.01,0,,0,,,,,,3.75,32.73,9.93,31.98,0,,67.9,31,69.7,30.4,4.74,32.11,4.29,30.51,68,30.9,
1/5/2024,12:35:00 AM,0,,,,70.5,30,3.36,31.77,3.39,31.96,0,,0,,,,,,3.75,32.71,9.93,31.94,0,,68.1,31,69.9,30.4,4.74,32.03,4.29,30.49,67.9,30.9,
1/5/2024,12:40:00 AM,0,,,,71.2,29.9,3.36,31.72,3.39,31.89,0,,0,,,,,,3.75,32.66,9.93,31.94,0,,68.5,30.9,70.1,30.3,4.74,32.01,4.29,30.47,68.7,30.7,
1/5/2024,12:45:00 AM,0,,,,71.6,29.8,3.36,31.67,3.39,31.84,0,,0,,,,,,3.75,32.63,9.93,31.86,0,,68.6,30.8,70.5,30.2,4.74,31.96,4.29,30.42,69,30.6,
1/5/2024,12:50:00 AM,0,,,,71.8,29.8,3.36,31.62,3.39,31.77,0,,0,,,,,,3.75,32.59,9.93,31.84,0,,69,30.8,70.9,30.1,4.74,31.94,4.29,30.39,69.1,30.6,
1/5/2024,12:55:00 AM,0,,,,72.2,29.7,3.36,31.58,3.39,31.74,0,,0,,,,,,3.75,32.56,9.93,31.79,0,,69.3,30.7,71.2,30.1,4.74,31.89,4.29,30.35,69.5,30.5,
1/5/2024,1:00:00 AM,0,,,,72.8,29.6,3.36,31.53,3.39,31.67,0,,0,,,,,,3.75,32.51,9.93,31.79,0,,69.7,30.6,71.4,30.1,4.74,31.84,4.29,30.3,69.8,30.5,
1/5/2024,1:05:00 AM,0,,,,72.8,29.6,3.36,31.46,3.39,31.62,0,,0,,,,,,3.75,32.47,9.93,31.74,0,,70,30.5,71.6,30.1,4.74,31.79,4.29,30.27,70.3,30.4,
1/5/2024,1:10:00 AM,0,,,,72.8,29.6,3.36,31.43,3.39,31.58,0,,0,,,,,,3.75,32.42,9.93,31.72,0,,70.2,30.5,71.5,30.1,4.74,31.74,4.29,30.25,70.6,30.3,
1/5/2024,1:15:00 AM,0,,,,73.6,29.5,3.36,31.38,3.39,31.53,0,,0,,,,,,3.75,32.42,9.93,31.67,0,,70.7,30.4,71.8,30,4.69,31.7,4.29,30.22,70.6,30.3,
1/5/2024,1:20:00 AM,0,,,,73.8,29.4,3.36,31.36,3.39,31.48,0,,0,,,,,,3.75,32.37,9.93,31.65,0,,71,30.3,72.4,29.9,4.69,31.67,4.29,30.2,71.6,30.1,
1/5/2024,1:25:00 AM,0,,,,74,29.4,3.36,31.29,3.39,31.41,0,,0,,,,,,3.75,32.32,9.93,31.62,0,,71.5,30.3,72.7,29.9,4.69,31.6,4.29,30.13,71.5,30.1,
1/5/2024,1:30:00 AM,0,,,,74.4,29.3,3.36,31.26,3.39,31.36,0,,0,,,,,,3.75,32.3,9.93,31.58,0,,71.7,30.2,73.1,29.8,4.69,31.58,4.29,30.1,72,30.1,
1/5/2024,1:35:00 AM,0,,,,74.5,29.3,3.36,31.21,3.39,31.31,0,,0,,,,,,3.75,32.25,9.93,31.55,0,,72,30.2,73.1,29.9,4.74,31.53,4.29,30.1,72.3,30,
1/5/2024,1:40:00 AM,0,,,,74.9,29.3,3.36,31.17,3.39,31.29,0,,0,,,,,,3.75,32.23,9.93,31.5,0,,72.2,30.2,73.5,29.8,4.69,31.48,4.29,30.06,72.6,30,
1/5/2024,1:45:00 AM,0,,,,75.2,29.2,3.36,31.14,3.39,31.24,0,,0,,,,,,3.75,32.2,9.93,31.48,0,,72.2,30.1,73.7,29.7,4.69,31.46,4.29,30.03,72.8,30,
1/5/2024,1:50:00 AM,0,,,,75.2,29.2,3.36,31.09,3.39,31.19,0,,0,,,,,,3.75,32.18,9.93,31.46,0,,72.5,30.1,73.7,29.7,4.69,31.43,4.29,30.01,72.8,29.9,
1/5/2024,1:55:00 AM,0,,,,75.3,29.2,3.36,31.07,3.39,31.17,0,,0,,,,,,3.75,32.13,9.93,31.43,0,,72.5,30.1,73.8,29.7,4.74,31.38,4.29,29.98,72.7,29.9,
1/5/2024,2:00:00 AM,0,,,,74.6,29.4,3.36,31.05,3.39,31.14,0,,0,,,,,,3.75,32.08,9.89,31.41,0,,72.1,30.2,73.5,29.8,4.69,31.36,4.29,29.96,72.3,30,
1/5/2024,2:05:00 AM,0,,,,73.9,29.6,3.36,31.05,3.39,31.14,0,,0,,,,,,3.75,32.03,9.82,31.36,0,,71.7,30.3,72.9,30,4.69,31.34,4.29,29.96,71.8,30.1,
1/5/2024,2:10:00 AM,0,,,,73.7,29.7,3.36,31.02,3.39,31.12,0,,0,,,,,,3.75,32.03,9.89,31.34,0,,71.3,30.4,72.5,30.1,4.69,31.31,4.29,29.96,71.6,30.2,
1/5/2024,2:15:00 AM,0,,,,73.4,29.7,3.36,31,3.39,31.12,0,,0,,,,,,3.75,32.01,9.89,31.29,0,,71.1,30.5,72.4,30.1,4.69,31.29,4.29,29.96,71.2,30.2,
1/5/2024,2:20:00 AM,0,,,,73.1,29.7,3.36,31,3.39,31.09,0,,0,,,,,,3.75,31.98,9.89,31.26,0,,70.8,30.5,72.2,30.1,4.74,31.29,4.29,29.93,71.1,30.2,
1/5/2024,2:25:00 AM,0,,,,73,29.7,3.36,30.97,3.39,31.07,0,,0,,,,,,3.75,31.96,9.89,31.26,0,,70.7,30.5,72,30.1,4.69,31.26,4.29,29.93,70.9,30.3,
1/5/2024,2:30:00 AM,0,,,,73.1,29.7,3.36,30.97,3.39,31.07,0,,0,,,,,,3.75,31.96,9.89,31.24,0,,70.7,30.4,71.9,30.1,4.74,31.26,4.29,29.93,70.8,30.2,
1/5/2024,2:35:00 AM,0,,,,73.1,29.6,3.36,30.93,3.39,31.02,0,,0,,,,,,3.75,31.94,9.89,31.21,0,,70.7,30.4,71.9,30.1,4.69,31.21,4.29,29.91,70.7,30.2,
1/5/2024,2:40:00 AM,0,,,,73.2,29.6,3.36,30.9,3.39,30.97,0,,0,,,,,,3.75,31.91,9.89,31.19,0,,70.7,30.4,71.9,30.1,4.74,31.21,4.29,29.91,70.9,30.2,
1/5/2024,2:45:00 AM,0,,,,72.9,29.7,3.36,30.88,3.39,30.97,0,,0,,,,,,3.75,31.89,9.89,31.17,0,,70.6,30.4,71.7,30.1,4.74,31.19,4.29,29.91,70.7,30.2,
1/5/2024,2:50:00 AM,0,,,,72.9,29.7,3.36,30.88,3.39,30.95,0,,0,,,,,,3.75,31.86,9.82,31.14,0,,70.6,30.4,71.8,30.1,4.74,31.17,4.29,29.89,70.9,30.2,
1/5/2024,2:55:00 AM,0,,,,73.1,29.6,3.36,30.85,3.39,30.93,0,,0,,,,,,3.75,31.84,9.82,31.12,0,,70.7,30.4,71.9,30,4.74,31.14,4.29,29.89,70.8,30.2,
1/5/2024,3:00:00 AM,0,,,,73.2,29.6,3.36,30.8,3.39,30.9,0,,0,,,,,,3.75,31.82,9.89,31.09,0,,70.7,30.4,71.9,30,4.69,31.14,4.29,29.86,71,30.2,
1/5/2024,3:05:00 AM,0,,,,73.2,29.5,3.36,30.78,3.39,30.88,0,,0,,,,,,3.75,31.79,9.89,31.07,0,,70.9,30.3,72,30,4.69,31.09,4.29,29.84,71.1,30.1,
1/5/2024,3:10:00 AM,0,,,,73.6,29.5,3.36,30.78,3.39,30.83,0,,0,,,,,,3.75,31.77,9.89,31.07,0,,70.9,30.3,72.2,29.9,4.74,31.07,4.29,29.84,71.2,30,
1/5/2024,3:15:00 AM,0,,,,73.7,29.4,3.36,30.78,3.39,30.8,0,,0,,,,,,3.75,31.74,9.82,31.07,0,,71.1,30.2,72.3,29.9,4.74,31.05,4.29,29.84,71.3,30,
1/5/2024,3:20:00 AM,0,,,,73.7,29.4,3.36,30.71,3.39,30.78,0,,0,,,,,,3.75,31.74,9.82,31.02,0,,71.3,30.2,72.3,29.8,4.74,31.02,4.29,29.79,71.3,30,
1/5/2024,3:25:00 AM,0,,,,74.1,29.2,3.36,30.68,3.39,30.76,0,,0,,,,,,3.75,31.7,9.82,31.02,0,,71.5,30.1,72.7,29.7,4.74,31,4.29,29.76,71.6,30,
1/5/2024,3:30:00 AM,0,,,,74.7,29.1,3.36,30.66,3.39,30.71,0,,0,,,,,,3.75,31.7,9.82,31,0,,71.7,30,73,29.6,4.74,31,4.29,29.74,71.9,29.9,
1/5/2024,3:35:00 AM,0,,,,74.7,29.1,3.36,30.61,3.39,30.68,0,,0,,,,,,3.75,31.65,9.82,30.97,0,,71.9,30,73.3,29.6,4.69,30.97,4.29,29.72,72.1,29.8,
1/5/2024,3:40:00 AM,0,,,,74.7,29,3.36,30.59,3.39,30.64,,,16.1,,34.2,,,,33.55,4.39,33.57,64.7,402,,61.6,34.1,60.2,34.6,4.89,33.74,4.39,33.76,65.1,32.7,
1/5/2024,8:50:00 AM,429,,,,50.5,38,3.7,35.92,,,430,,426,,,,,,3.9,33.95,10.05,31.77,414,,61.4,34.1,59.8,34.6,4.89,34.05,4.39,33.88,64.1,33,
1/5/2024,8:55:00 AM,441,,,,50.1,38,3.75,36.18,,,441,,437,,,,,,3.9,34.02,10.05,31.84,414,,61.7,34.1,59.8,34.6,4.89,34.31,4.39,33.98,63.6,33,
1/5/2024,9:00:00 AM,440,,,,49.4,38.4,3.75,36.44,,,441,,438,,,,,,3.9,34.02,9.98,31.86,439,,59.4,34.8,58.3,35.1,4.97,34.72,4.39,34.19,62.6,33.4,
1/5/2024,9:05:00 AM,466,,,,48.8,38.6,3.75,36.76,,,471,,467,,,,,,3.9,34.14,10.05,31.96,460,,60,34.8,58.1,35.3,4.97,35.03,4.39,34.36,62.7,33.4,
1/5/2024,9:10:00 AM,487,,,,48.1,39.1,3.75,37.07,,,491,,486,,,,,,3.9,34.17,10.1,32.03,463,,59.6,35,57.6,35.7,5,35.32,4.39,34.67,62.4,33.9,
1/5/2024,9:15:00 AM,490,,,,46.6,40.2,3.75,37.52,,,493,,489,,,,,,3.9,34.29,10.14,32.13,433,,59.6,34.9,58,35.6,5,35.51,4.39,34.82,62.1,33.7,
1/5/2024,9:20:00 AM,483,,,,47.1,40,3.75,37.91,,,513,,508,,,,,,3.9,34.38,10.14,32.18,506,,58.3,35.5,55,36.9,5,35.87,4.39,35.25,60.1,34.5,
1/5/2024,9:25:00 AM,534,,,,44.9,41.3,3.75,38.36,,,537,,532,,,,,,3.93,34.5,10.14,32.25,520,,58.2,35.4,54.8,36.6,5,36.16,4.39,35.41,61,34,
1/5/2024,9:30:00 AM,550,,,,45.1,40.9,3.82,38.75,,,550,,545,,,,,,3.93,34.6,10.14,32.35,526,,57.8,35.5,55.5,36.4,5,36.35,4.39,35.49,60.7,34.2,
1/5/2024,9:35:00 AM,555,,,,45.5,40.4,3.82,39.03,,,555,,550,,,,,,3.93,34.67,10.14,32.42,542,,58.3,35.2,55.6,36.2,5,36.42,4.39,35.51,61.5,33.8,
1/5/2024,9:40:00 AM,570,,,,45.5,40.4,3.82,39.35,,,567,,563,,,,,,3.93,34.72,10.14,32.49,556,,58.4,35.6,54.7,36.9,5,36.71,4.39,35.7,59.6,34.7,
1/5/2024,9:45:00 AM,587,,,,43.9,41.5,3.85,39.83,,,589,,583,,,,,,3.98,34.86,10.14,32.56,579,,57,35.6,54.5,36.6,5,36.92,4.39,35.77,60.5,33.9,
1/5/2024,9:50:00 AM,608,,,,44.8,40.4,3.85,40.16,,,608,,603,,,,,,3.98,34.94,10.14,32.63,602,,56.8,35.8,53.7,36.9,5,37.04,4.39,35.87,59.1,34.5,
1/5/2024,9:55:00 AM,632,,,,43.8,41.2,3.85,40.54,,,634,,628,,,,,,3.98,35.03,10.14,32.71,599,,56.3,36.2,52.8,37.4,5,37.31,4.39,36.04,58.4,34.9,
1/5/2024,10:00:00 AM,629,,,,43.5,41.7,3.85,40.9,,,630,,623,,,,,,3.98,35.17,10.14,32.8,599,,55.7,36.2,52.8,37.1,5,37.43,4.39,36.13,58.7,34.7,
1/5/2024,10:05:00 AM,628,,,,43.6,41,3.85,41.18,,,630,,624,,,,,,3.98,35.27,10.14,32.85,600,,55.9,36.2,53.7,37,5,37.4,4.39,36.16,59.4,34.5,
1/5/2024,10:10:00 AM,620,,,,45.6,40.5,3.85,41.31,,,629,,623,,,,,,3.98,35.34,10.14,32.92,615,,54.2,36.7,51.4,37.8,5,37.33,4.44,36.44,57.3,35.2,
1/5/2024,10:15:00 AM,644,,,,43,41.2,3.85,41.64,,,642,,636,,,,,,4,35.46,10.14,32.99,652,,54.2,36.6,51.3,37.9,5,37.11,4.39,36.59,57.4,34.9,
1/5/2024,10:20:00 AM,681,,,,44,41.2,3.85,41.86,,,679,,673,,,,,,3.98,35.53,10.14,33.09,645,,53.7,36.5,51.1,37.5,5,36.99,4.39,36.64,57.3,34.7,
1/5/2024,10:25:00 AM,674,,,,43.1,40.9,3.85,42.13,,,672,,666,,,,,,4,35.58,10.14,33.14,658,,54,36.4,50.9,37.6,5,36.9,4.39,36.66,57,34.8,
1/5/2024,10:30:00 AM,687,,,,42.4,41.4,3.85,42.52,,,686,,680,,,,,,4,35.63,10.14,33.19,677,,52.8,36.6,49.6,37.8,5,36.88,4.39,36.73,55.8,35,
1/5/2024,10:35:00 AM,706,,,,42.3,41.2,3.9,42.81,,,708,,701,,,,,,4,35.7,10.14,33.26,673,,53,17.4,43.4,40.1,44.5,39.6,5,40.35,4.29,37.83,
1/5/2024,10:40:00 AM,701,,,,41.6,41.4,3.9,43.18,,,700,,693,,,,,,4,35.82,10.14,33.31,161,,43.1,39.9,44,39.5,5,40.3,4.29,37.79,45.8,38.2,
1/5/2024,4:20:00 PM,202,,,,39.6,42,3.75,43.92,,,204,,199,,,,,,4,39.73,10.3,36.83,153,,44,39.4,44.8,38.9,5,40.21,4.29,37.69,46.8,37.7,
1/5/2024,4:25:00 PM,187,,,,39.7,41.3,3.7,43.74,,,188,,184,,,,,,4,39.59,10.3,36.76,139,,45.1,38.9,45.2,38.9,5,39.95,4.29,37.62,46.8,37.7,
1/5/2024,4:30:00 PM,172,,,,41.2,40.5,3.7,43.42,,,173,,170,,,,,,4,39.44,10.3,36.68,130,,45.2,39,45.6,38.7,4.97,39.75,4.23,37.55,47.1,37.8,
1/5/2024,4:35:00 PM,158,,,,41.8,40.3,3.7,43.18,,,159,,156,,,,,,4,39.32,10.3,36.64,121,,45.3,39,45.5,38.7,4.97,39.54,4.29,37.5,46.7,37.9,
1/5/2024,4:40:00 PM,144,,,,42,40.5,3.62,42.93,,,146,,144,,,,,,4,39.18,10.26,36.56,112,,45.6,38.7,46.1,38.3,4.92,39.3,4.21,37.4,46.6,37.8,
1/5/2024,4:45:00 PM,132,,,,42.2,40.1,3.62,42.66,,,133,,131,,,,,,4,39.08,10.26,36.52,104,,46,38.4,46.6,38.2,4.89,39.08,4.21,37.33,47,37.6,
1/5/2024,4:50:00 PM,119,,,,42.8,39.7,3.59,42.37,,,119,,117,,,,,,3.98,38.99,10.3,36.44,97,,46,38.2,46.2,38,4.89,38.84,4.16,37.19,46.9,37.3,
1/5/2024,4:55:00 PM,109,,,,43.5,39.2,3.59,42.05,,,110,,108,,,,,,3.98,38.84,10.26,36.4,90,,46.6,37.8,47.2,37.5,4.89,38.6,4.16,36.99,47.3,37.2,
1/5/2024,5:00:00 PM,100,,,,44.3,38.8,3.59,41.69,,,100,,99,,,,,,3.93,38.67,10.21,36.32,84,,47.1,37.8,47.3,37.6,4.89,38.46,4.16,36.95,47.3,37.3,
1/5/2024,5:05:00 PM,91,,,,44.6,38.8,3.59,41.45,,,92,,91,,,,,,3.9,38.55,10.21,36.25,76,,47.1,37.6,47.5,37.4,4.89,38.27,4.16,36.78,47.3,37.2,
1/5/2024,5:10:00 PM,81,,,,45.4,38.3,3.59,41.16,,,82,,81,,,,,,3.9,38.41,10.21,36.18,68,,47.2,37.3,47.5,37.1,4.89,38.05,4.16,36.64,47.2,37,
1/5/2024,5:15:00 PM,72,,,,45.4,38,3.59,40.83,,,73,,72,,,,,,3.9,38.27,10.14,36.08,61,,47.4,37.1,47.9,36.9,4.84,37.86,4.16,36.52,47.4,36.8,
1/5/2024,5:20:00 PM,64,,,,45.8,37.5,3.54,40.51,,,65,,65,,,,,,3.9,38.05,10.14,36.04,54,,48.3,37,48.7,36.7,4.84,37.69,4.16,36.35,48.4,36.7,
1/5/2024,5:25:00 PM,56,,,,47.4,37.2,3.52,40.18,,,57,,56,,,,,,3.9,37.86,10.14,35.94,45,,49.2,36.7,49.9,36.3,4.82,37.5,4.16,36.16,49.6,36.3,
