DATE,TIME,AG-PV P3/Irr (W/m2),AG-PV P3/T (oC),AO-TI P1/RH (%),AO-TI P1/T (oC),AO-TI P2/RH (%),AO-TI P2/T (oC),AO-SS P1/RH (%),AO-SS P1/T (oC),AO-SS P2/RH (%),AO-SS P2/T (oC),AG-PV P1/Irr (W/m2),AG-PV P1/T (oC),AG-PV P2/Irr (W/m2),AG-PV P2/T (oC),AG-TI P1/RH (%),AG-TI P1/T (oC),AG-TI P2/RH (%),AG-TI P2/T (oC),AG-SS P1/RH (%),AG-SS P1/T (oC),AG-SS P2/RH (%),AG-SS P2/T (oC),PO-PV/Irr (W/m2),PO-PV/T (oC),AG-TI P3/RH (%),AG-TI P3/T (oC),AO-TI P3/RH (%),AO-TI P3/T (oC),AG-SS P3/RH (%),AG-SS P3/T (oC),AO-SS P3/RH (%),AO-SS P3/T (oC),WS/RH (%),WS/T (oC),WS/P (mm)
10/10/2024,12:00:00 AM,0.0,,,,0.0,0.0,21.23,27.03,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.77,89.8,24.9,
10/10/2024,12:05:00 AM,0.0,,,,0.0,0.0,21.23,27.03,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.74,90.4,24.9,
10/10/2024,12:10:00 AM,0.0,,,,0.0,0.0,21.23,27.05,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.72,90.5,25.0,
10/10/2024,12:15:00 AM,0.0,,,,0.0,0.0,21.18,27.05,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.72,90.4,24.9,
10/10/2024,12:20:00 AM,0.0,,,,0.0,0.0,21.18,27.05,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.69,90.6,24.9,
10/10/2024,12:25:00 AM,0.0,,,,0.0,0.0,21.18,27.05,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.69,90.6,24.9,
10/10/2024,12:30:00 AM,0.0,,,,0.0,0.0,21.18,27.05,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.69,90.4,25.0,
10/10/2024,12:35:00 AM,0.0,,,,0.0,0.0,21.18,27.03,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.69,90.6,25.0,
10/10/2024,12:40:00 AM,0.0,,,,0.0,0.0,21.18,27.03,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.67,90.6,25.0,
10/10/2024,12:45:00 AM,0.0,,,,0.0,0.0,21.18,27.01,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.69,90.8,24.9,
10/10/2024,12:50:00 AM,0.0,,,,0.0,0.0,21.18,27.01,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.67,91.2,24.9,
10/10/2024,12:55:00 AM,0.0,,,,0.0,0.0,21.18,26.96,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.64,91.4,24.8,
10/10/2024,1:00:00 AM,0.0,,,,0.0,0.0,21.18,26.96,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.62,91.3,24.8,
10/10/2024,1:05:00 AM,0.0,,,,0.0,0.0,21.18,26.93,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.62,91.3,24.7,
10/10/2024,1:10:00 AM,0.0,,,,0.0,0.0,21.18,26.93,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.6,91.5,24.7,
10/10/2024,1:15:00 AM,0.0,,,,0.0,0.0,21.23,26.93,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.57,91.6,24.8,
10/10/2024,1:20:00 AM,0.0,,,,0.0,0.0,21.23,26.96,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.57,91.5,24.8,
10/10/2024,1:25:00 AM,0.0,,,,0.0,0.0,21.18,26.96,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.57,91.1,24.8,
10/10/2024,1:30:00 AM,0.0,,,,0.0,0.0,21.18,26.96,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.57,90.5,24.8,
10/10/2024,1:35:00 AM,0.0,,,,0.0,0.0,21.18,26.96,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.55,90.1,24.8,
10/10/2024,1:40:00 AM,0.0,,,,0.0,0.0,21.23,26.96,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.52,89.9,24.8,
10/10/2024,1:45:00 AM,0.0,,,,0.0,0.0,21.18,26.93,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.5,89.7,24.6,
10/10/2024,1:50:00 AM,0.0,,,,0.0,0.0,21.18,26.91,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.47,89.7,24.6,
10/10/2024,1:55:00 AM,0.0,,,,0.0,0.0,21.18,26.91,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.45,89.6,24.6,
10/10/2024,2:00:00 AM,0.0,,,,0.0,0.0,21.18,26.88,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.42,89.7,24.6,
10/10/2024,2:05:00 AM,0.0,,,,0.0,0.0,21.18,26.88,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.42,89.7,24.6,
10/10/2024,2:10:00 AM,0.0,,,,0.0,0.0,21.18,26.88,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.4,89.9,24.5,
10/10/2024,2:15:00 AM,0.0,,,,0.0,0.0,21.18,26.86,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.37,89.9,24.5,
10/10/2024,2:20:00 AM,0.0,,,,0.0,0.0,21.18,26.88,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.37,89.8,24.5,
10/10/2024,2:25:00 AM,0.0,,,,0.0,0.0,21.18,26.88,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.37,89.6,24.5,
10/10/2024,2:30:00 AM,0.0,,,,0.0,0.0,21.18,26.86,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.35,89.6,24.6,
10/10/2024,2:35:00 AM,0.0,,,,0.0,0.0,21.18,26.88,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.33,89.3,24.5,
10/10/2024,2:40:00 AM,0.0,,,,0.0,0.0,21.18,26.83,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,27.76,27.3,89.1,24.6,
